Year,Rk,TeamName,Seed,AdjEM,AdjO,AdjD,AdjT,SOS-AdjEM,SOS-OppO,SOS-OppD,NCSOS-AdjEM,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Off. Efficiency-Raw,Def. Efficiency-Adj,Def. Efficiency-Raw,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,Experience,Bench,Continuity,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
2011,3,Kansas,1,28.38,118.9,90.6,68.4,7.75,108.2,100.5,-0.29,68.4,15.6,18.6,118.9,115.7,90.6,92.3,57,19.1,36.4,39.3,44.5,20.3,25.7,31.9,77.1,1.71,32,55.2,19,54.7,26.4,20.7,51.8,27.5
2011,32,Kansas State,5,17.42,111.1,93.6,66.4,9.23,108.5,99.3,0.73,66.4,17.9,16.9,111.1,105.6,93.6,97.1,49.6,21.6,39.7,43,47.3,22.2,28.4,45.3,77,1.53,35.7,54.7,22.2,48.9,28.8,25.4,51,23.6
2011,7,Kentucky,4,25.82,117.8,92,65,9.81,108.4,98.5,4.46,65,18.3,17.8,117.8,112.4,92,95.4,52.3,16.1,32.9,36.1,44.2,17.9,27,30.1,78.4,0.83,20.2,16.7,19.7,50.7,29.6,19.7,54.1,26.1
2011,109,LIU,15,5.43,109.6,104.2,73.3,-6.02,99.7,105.8,-5.31,73.3,15.1,16.6,109.6,109.5,104.2,98.9,51.9,20.1,37,49.7,48.3,19.9,31.1,26.2,75.1,2.05,36.4,62.1,23.6,51.2,25.2,15.2,59.5,25.3
2011,14,Louisville,4,22.26,111.4,89.2,66.8,8.77,108.3,99.5,-5.13,66.8,16.2,19.1,111.4,107.1,89.2,92.8,52.7,18.8,33.7,29.9,44.5,23.3,32.2,39.8,75.9,1.23,33.6,35.9,15.9,48.8,35.3,23.7,49.8,26.4
2011,26,Marquette,11,18.14,115.5,97.3,66.2,11.06,109.4,98.4,-5.91,66.2,17.2,18,115.5,109.7,97.3,101,51,18.2,34,44.3,49.9,20.6,31.6,28.9,77,1.12,28.7,47.7,23.2,56.2,20.6,16,53.3,30.6
2011,90,Memphis,12,6.98,104.5,97.6,67.6,2.11,104.8,102.7,-4.74,67.6,16.8,17.9,104.5,102.9,97.6,97.7,50.4,21.9,33.1,39.6,46.8,21.1,32.7,39.2,76.8,0.77,36.1,21.7,21.1,54,25,22.2,52.1,25.7
2011,30,Michigan,8,17.69,112.8,95.1,61.5,12,110.7,98.7,-1.19,61.5,19.3,19.1,112.8,106.3,95.1,100.8,52.3,16.6,23.9,26.7,48.9,19.2,27.8,30.4,77.3,1.44,19.3,46.3,15.3,47.8,36.9,17.5,52.1,30.4
2011,45,Michigan State,10,15.08,109.5,94.4,65,13.7,111,97.3,6.7,65,17.4,18.8,109.5,102.3,94.4,100.3,48.6,20.2,34,36.6,47.8,18.2,26,38.9,76.5,1.97,30.8,68.4,20.8,51,28.2,21.2,50.7,28.1
2011,42,Missouri,11,15.54,113.4,97.8,70.7,6.5,106.9,100.4,-4.76,70.7,15.4,17.8,113.4,109.3,97.8,98.6,51.5,16.9,31,34.3,49.3,24.5,34.7,40.7,76.8,1.2,37.1,56,19.7,54,26.4,22.3,54,23.7
2011,89,Morehead State,13,7.01,105.6,98.6,63.4,-2.89,102.2,105.1,2.66,63.4,19.1,18.2,105.6,105,98.6,96.5,50.4,23.2,39.9,40.4,49.2,22.7,26,37.4,75.7,2.03,18.6,52.9,21.3,52.7,26.1,20.8,46,33.2
2011,15,North Carolina,2,22.18,111.8,89.6,70.6,11.14,109.9,98.8,6.01,70.6,15.2,17.8,111.8,105.8,89.6,94.1,49.1,18.2,35.9,37.9,46.2,19.7,27.9,24.8,78.7,0.86,31.2,34.8,20.6,59.6,19.9,15,53.5,31.5
2011,119,Northern Colorado,15,4.05,106.3,102.2,66.6,-2.41,102.4,104.8,2.87,66.6,17.3,19.2,106.3,105.6,102.2,99.9,49.9,21.6,32.8,43.4,48.8,20,27.5,43.2,76.6,2,26.3,59.6,25.1,40.9,34,23.9,41.9,34.2
2011,11,Notre Dame,2,23.25,120.9,97.7,63.1,9.92,108.2,98.3,-3.83,63.1,19,17.9,120.9,114.7,97.7,100.3,53.5,16.7,31.7,45.1,46.7,15.8,26.4,25.6,78,1.82,21.2,57.5,23.4,44.6,32,16.3,52.2,31.5
2011,56,Oakland,13,13.31,118.6,105.3,71.1,2.01,106,104,14.82,71.1,16.1,17,118.6,116.9,105.3,105.6,55.8,18.5,35.4,39,49.5,16.5,29.9,31.2,76.7,2.02,27.9,51.1,20.1,51.8,28.1,18.6,55.8,25.6
2011,1,Ohio State,1,33.47,125,91.5,63.8,8.82,108.9,100,-4.08,63.8,17.1,20.1,125,119.9,91.5,93.7,56.3,15.8,34.4,37.1,48.3,23.4,25.8,20.6,77.7,2.44,18.2,59.2,18.7,51.3,30,13.6,54.9,31.5
2011,48,Old Dominion,9,14.66,110,95.4,60.4,2.38,105.2,102.8,2.76,60.4,19,20.1,110,107.6,95.4,95.4,48.5,20.7,44.9,37.6,47.3,19.2,26.1,27.5,77.3,2.46,28.2,77.4,20.6,57.1,22.3,15.4,47.6,37
2011,46,Penn State,10,14.88,113.1,98.3,59.4,12.46,110.7,98.3,-0.62,59.4,20.9,19.1,113.1,105.8,98.3,104.7,50.1,17.9,30.4,31.1,50.7,18.1,27.8,29.1,77.1,2.76,17.5,72.7,18.4,51.4,30.2,16.7,50.1,33.2
2011,4,Pitt,1,27.08,120.6,93.5,61.8,8.17,107.6,99.4,-3.68,61.8,18.5,19.3,120.6,116.2,93.5,95.9,52.9,18.5,41.8,43.1,45.1,17.7,26.3,32.3,77,1.89,32,80.3,21.5,54.4,24.1,19.5,51.7,28.8
2011,79,Princeton,13,9.09,107.2,98.1,62.6,-0.72,104,104.7,0.33,62.6,19,18.7,107.2,106.2,98.1,97.8,51.9,18.7,29.1,36.6,47.1,18.4,23.9,35.4,77.9,1.92,24.2,63.2,20.6,53.2,26.2,21.3,56.2,22.5
2011,9,Purdue,3,24.79,115.9,91.1,66,10.16,108.8,98.7,1.21,66,17.4,18.7,115.9,109.1,91.1,93.7,50.7,15.7,30.4,34.4,46,21.3,27.5,30.4,76.3,2.08,28.8,58.6,19.5,51.9,28.6,18.7,57.2,24.1
2011,39,Richmond,12,16.01,112.6,96.5,62.1,3.11,104.8,101.7,1,62.1,18.2,19.6,112.6,109,96.5,95.8,53.1,16.3,26.9,32.3,45.1,19.5,32.2,29.3,77.4,2.63,27.2,67.2,17.3,49.3,33.4,18.2,56.9,24.9
2011,137,Saint Peter's,14,2.73,95.2,92.5,64.1,0.88,103.2,102.3,4.62,64.1,17.9,18.4,95.2,92.1,92.5,91.2,45.5,23.3,31.1,38.9,42.4,21.6,31.9,42.1,75.7,2.41,32.7,86,21.6,49.9,28.6,24.5,49.8,25.7
2011,8,San Diego State,2,24.98,114.1,89.1,62.3,7.48,107.6,100.1,4.1,62.3,18.7,18.9,114.1,110,89.1,92.1,50.5,17.1,36.4,31.1,44.1,19.4,27.2,28,77.6,2.47,25.3,80.3,17.7,57.3,25.1,18.5,55.6,25.9
2011,41,St. John's (NY),6,15.87,111.2,95.3,66,10.98,110,99,1.69,66,18.1,17.9,111.2,105.1,95.3,100.3,49.5,18.6,31.5,44.2,50.8,24.2,31.7,40.2,76.4,2.5,29.1,77.5,24,57.4,18.5,21.7,44,34.3
2011,13,Syracuse,3,22.49,114.9,92.4,64.6,9.03,108.3,99.3,-2.31,64.6,16.2,19.8,114.9,110.2,92.4,95.2,52.8,18.7,34.6,36,45.5,21.4,31.5,29.7,78.3,1.59,26.1,50,18.5,55.6,25.9,17.9,49.1,33
2011,34,Temple,7,16.84,110.5,93.7,64.2,4.04,105.5,101.5,5.83,64.2,18.4,18.1,110.5,106.9,93.7,94.3,50,16.4,30.7,33.8,46.3,20,27,26.4,77.7,1.71,27.8,59,19.1,55.2,25.8,16.8,56.8,26.4
2011,62,Tennessee,9,12.41,108,95.6,66.1,9.07,108.6,99.6,6.45,66.1,17.2,18.4,108,102.7,95.6,99.5,47.6,19.8,36.3,39.7,47.9,20.9,29.4,37.5,77.5,1.68,32.9,47.8,22.2,55.7,22.1,21.6,48.3,30.1
2011,5,Texas,4,25.93,115.5,89.6,65.5,7.61,107.5,99.9,0.6,65.5,17.4,17.7,115.5,109.6,89.6,91.1,50.2,17.2,35.8,43.1,42.5,18.7,28.1,30.7,76.8,1.24,26.6,49.6,21.9,55.8,22.3,19.8,58.4,21.7
2011,49,Texas A&M,7,14.62,110,95.4,60.9,5.43,105.9,100.5,-7.5,60.9,18.9,18.8,110,105.8,95.4,96.3,49.3,20.4,36.3,47.3,46.6,20.9,27.7,36.9,76.9,1.58,30.3,65.8,25.1,50.8,24.1,21.4,52.2,26.4
2011,52,UCLA,7,13.57,108.7,95.1,65.5,6.92,107.3,100.4,0.26,65.5,19.2,16.6,108.7,103.5,95.1,97.6,50.3,22,34.7,44.3,46.3,18,29.3,33,77.7,1.11,27.2,51.7,23,55.2,21.8,19.3,57.2,23.4
2011,150,UNC Asheville,16,1.91,101.9,100,67.4,-3.97,101.1,105.1,7.07,67.4,16.6,17.8,101.9,101,100,97.4,48.9,21.2,30.1,41.8,47.9,24.3,35.1,39.9,75.7,2.05,32.1,79.1,23.2,56.7,20.1,22.2,50,27.8
2011,29,UNLV,8,17.75,110.6,92.9,66.4,5.99,106.2,100.2,1.85,66.4,17.4,18.1,110.6,106,92.9,93.1,50.9,18.6,32.2,39.1,46,24.1,29.7,39.7,77.4,1.81,30.7,70.4,20.9,55.7,23.4,23.1,49.6,27.3
2011,227,UTSA,16,-5.32,101.8,107.1,66.7,-5.71,100.3,106.1,-1.85,66.7,16.9,18,101.8,101.9,107.1,103.4,49,19.7,27.7,41.1,49.1,19.9,32.1,36.5,76.6,1.19,25.5,25.5,23.2,46.9,29.9,20.8,47,32.2
2011,132,UC Santa Barbara,15,3.15,103.7,100.5,64.1,0.29,104.1,103.9,6.12,64.1,18.4,18.3,103.7,102.1,100.5,100.6,51.6,21.8,27.3,37.3,47.3,19.9,30.7,42.3,77,2.13,32.8,69.9,21.6,47.6,30.8,23.9,44.7,31.4
2011,22,Utah State,12,19.32,111.2,91.8,62.4,-0.29,103.8,104.1,-2.4,62.4,19,18.5,111.2,110.3,91.8,90.5,52.2,18.3,32.1,43.4,43.4,18.7,24,34.6,76.3,2.19,30.2,67.2,23.4,51.9,24.6,21.3,51.5,27.2
2011,33,Vanderbilt,5,17.33,116.6,99.2,66.1,6.66,106.5,99.8,2.52,66.1,16.6,18.9,116.6,111.2,99.2,99.4,52.9,19,32.3,45.2,46,17.5,29.5,28,78.3,1.74,27.5,60,24.1,45.3,30.6,17.5,56.1,26.5
2011,28,Villanova,9,17.83,114.9,97,65,9.07,108.3,99.3,-0.79,65,18.5,18,114.9,109.1,97,99,49.5,17.9,33.3,42.3,46.3,18.3,26.9,36.5,77.3,2.06,25.4,66.1,24.4,49.2,26.4,21.8,49,29.2
2011,53,Virginia Commonwealth,11,13.49,112,98.5,65.6,4.79,105.8,101,2.26,65.6,18.4,18,112,107.6,98.5,100.4,51.1,17.1,29.7,37,49.2,22,34.7,34.1,76.3,2.44,27,66.1,20.6,43.9,35.5,19,56,24.9
2011,16,Washington,7,21.69,117.7,96,69.9,7.21,106.9,99.7,1.07,69.9,14.9,18.3,117.7,113.8,96,97.4,53.7,16.7,36.8,31.5,46.4,20.6,29.6,44,76.7,1.83,37.1,63.9,16.5,52,31.5,24.4,53.4,22.2
2011,19,West Virginia,5,20.11,114.9,94.8,62.5,12.7,111,98.3,7.1,62.5,19.8,17.6,114.9,108.1,94.8,100.7,48.5,18.9,38.4,40.9,45.9,18.7,33.1,36,77.4,1.8,27.7,54.1,23.1,50.1,26.8,21.5,54.4,24.2
